R_ref,G_ref,B_ref,R,G,B
255,229,43,166.04293209876542,162.6504012345679,35.93756172839506,0
213,63,119,178.089012345679,75.74570987654322,97.8245987654321,1
0,151,219,49.24981481481481,117.39441358024692,166.83910493827162,2
78,74,71,78.09885802469135,79.31234567901235,74.18870370370371,3
